기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국관광공사,준정부기관(위탁집행형),http://knto.or.kr/,https://knto.or.kr/correctedNews,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국관세정보원,기타공공기관,https://kcits.or.kr/,https://kcits.or.kr/news/noticeList,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국광해광업공단,공기업(준시장형),https://www.komir.or.kr/,https://www.komir.or.kr/kor/17/survey,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국교육개발원,기타공공기관,https://www.kedi.re.kr/,https://www.kedi.re.kr/bbsList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국교육과정평가원,기타공공기관,https://www.kice.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국교육학술정보원,기타공공기관,https://www.keris.or.kr/,https://www.keris.or.kr/notice/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국교통안전공단,준정부기관(위탁집행형),https://www.kotsa.or.kr/,https://main.kotsa.or.kr/main.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,5,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국교통연구원,기타공공기관,https://www.koti.re.kr/,https://www.koti.re.kr/user/bbs/noticeList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,5,5,0,4,1,0,0,,,,,아니오,2026-09-26 09:29:41
한국국방연구원,기타공공기관,https://www.kida.re.kr/,https://www.kida.re.kr/frt/board/frtNormalBoard.do?sidx=243&depth=2,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,8,,,,,아니오,2026-09-26 09:29:41
한국국제교류재단,기타공공기관,https://www.kf.or.kr/,https://www.kf.or.kr/kf/na/ntt/selectNttList.do?mi=1131&bbsId=1051,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국국제보건의료재단,기타공공기관,https://www.kofih.org/,https://www.kofih.org/web/lay1/bbs/S1T10C21/A/1/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국국제협력단,준정부기관(위탁집행형),https://www.koica.go.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국국토정보공사,준정부기관(위탁집행형),https://www.lx.or.kr/,https://www.lx.or.kr/board/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국기상산업기술원,기타공공기관,https://www.kmiti.or.kr/,https://www.kmiti.or.kr/kr/board/kmi_notice/boardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
