기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국상하수도협회,기타공공기관,https://www.kwwa.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국생명존중희망재단,기타공공기관,https://www.kfsp.or.kr/,https://www.kfsp.or.kr/home/kor/board.do?menuPos=62,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국서부발전(주),공기업(시장형),https://www.iwest.co.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국석유공사,공기업(시장형),https://www.knoc.co.kr/,https://www.knoc.co.kr/sub11/sub11_1.jsp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국석유관리원,준정부기관(위탁집행형),http://www.kpetro.or.kr/,https://www.kpetro.or.kr/lay1/program/S1T55C65/sns/intro.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,10,,,,,아니오,2026-09-26 09:29:41
한국세라믹기술원,기타공공기관,https://www.kicet.re.kr/,https://www.kicet.re.kr/main.web,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국소방산업기술원,기타공공기관,https://www.kfi.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국소비자원,준정부기관(위탁집행형),https://www.kca.go.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국수력원자력(주),공기업(시장형),https://www.khnp.co.kr/,https://www.khnp.co.kr/notice/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국수목원정원관리원,준정부기관(위탁집행형),https://www.koagi.or.kr/,https://www.koagi.or.kr/www/user/bbs/BD_selectBbsList.do?q_bbsSn=1001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국수산자원공단,기타공공기관,http://www.fira.or.kr/,https://www.fira.or.kr/newfira/web/news/news01_01.jsp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국수자원공사,공기업(준시장형),https://www.kwater.or.kr/,https://www.kwater.or.kr/busi/sub03/noti01List.do?brdId=KO90&s_mid=2084,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국수자원조사기술원,기타공공기관,https://www.kihs.re.kr/,https://www.kihs.re.kr/kor_sub/bbs/notice_list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국수출입은행,기타공공기관,https://www.koreaexim.go.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국스포츠레저(주),기타공공기관,https://www.kospole.co.kr/,https://www.kospole.co.kr/toto/board/pr,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국승강기안전공단,준정부기관(위탁집행형),https://home.koelsa.or.kr/,https://home.koelsa.or.kr/portal/bbs/view.do?mId=0401000000&ptIdx=112&bIdx=15225,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,9,9,0,3,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국식품산업클러스터진흥원,기타공공기관,https://www.foodpolis.kr/,https://www.foodpolis.kr/web/info/notice/sub01.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국식품안전관리인증원,기타공공기관,https://www.haccp.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국양성평등교육진흥원,기타공공기관,http://www.kigepe.or.kr/,https://www.kigepe.or.kr:443/user/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000001&menuNo=13100,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,6,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국어촌어항공단,기타공공기관,https://www.fipa.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국언론진흥재단,기타공공기관,https://www.kpf.or.kr/,https://www.kpf.or.kr/front/user/main.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,3,3,0,3,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국에너지공단,준정부기관(위탁집행형),http://www.energy.or.kr/,https://www.energy.or.kr/front/board/List3.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국에너지기술평가원,기타공공기관,https://www.ketep.re.kr/,https://www.ketep.re.kr/board?menuId=MENU002070200000000&boardId=BOARD00065,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,1,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국에너지정보문화재단,기타공공기관,https://e-policy.or.kr/,https://e-policy.or.kr/web/lay1/bbs/S1T15C51/A/15/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국여성과학기술인육성재단,기타공공기관,https://www.wiset.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국여성인권진흥원,기타공공기관,https://www.stop.or.kr/,https://www.stop.or.kr/home/kor/M999659545/newsletter/index.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,9,9,0,7,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국여성정책연구원,기타공공기관,https://www.kwdi.re.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국연구재단,준정부기관(위탁집행형),https://www.nrf.re.kr/,https://www.nrf.re.kr/page/53?menuNo=53,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,6,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국영상자료원,기타공공기관,https://www.koreafilm.or.kr/,https://www.koreafilm.or.kr/kofa/news/notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국영유아보육·교육진흥원,기타공공기관,http://www.kicece.or.kr/,https://www.kicece.or.kr/kcpi/eng/main.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국예술인복지재단,기타공공기관,http://www.kawf.kr/,https://www.kawf.kr:443/notice/sub01.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,9,9,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국원산지정보원,기타공공기관,https://www.origin.or.kr/,https://www.origin.or.kr/lay1/bbs/S1T12C49/A/12/view.do?article_seq=1636&cpage=&rows=&condition=&keyword=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국원자력안전기술원,기타공공기관,https://www.kins.re.kr/,https://www.kins.re.kr/notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국원자력안전재단,기타공공기관,https://www.kofons.or.kr/,https://www.kofons.or.kr/web/cop/bbsWeb/selectBoardList.do?bbsId=BBSMSTR_000000000431,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국원자력의학원,기타공공기관,https://www.kirams.re.kr/,https://www.kirams.re.kr/kirams/board/generalBoardList5.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국원자력통제기술원,기타공공기관,https://www.kinac.re.kr/,https://www.kinac.re.kr/board?menuId=MN0000000498&siteId=00002,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,2,,,,,아니오,2026-09-26 09:29:41
한국원자력환경공단,준정부기관(위탁집행형),https://www.korad.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국의료기기안전정보원,기타공공기관,http://www.nids.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국의료분쟁조정중재원,기타공공기관,https://www.k-medi.or.kr/,https://www.k-medi.or.kr/web/lay1/bbs/S1T13C18/A/1/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,5,5,0,3,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국의약품안전관리원,기타공공기관,https://www.drugsafe.or.kr/,https://www.drugsafe.or.kr/iwt/ds/ko/bbs/EgovBbs.do?bbsId=BBSMSTR_000000000011,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국인터넷진흥원,준정부기관(위탁집행형),https://www.kisa.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국임업진흥원,기타공공기관,https://www.kofpi.or.kr/,https://www.kofpi.or.kr/notice/public_07.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국자산관리공사,준정부기관(기금관리형),http://www.kamco.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국잡월드,기타공공기관,http://www.koreajobworld.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국장애인개발원,기타공공기관,https://www.koddi.or.kr/,https://www.koddi.or.kr/bbs/notice01.jsp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,2,0,0,2,,,,,아니오,2026-09-26 09:29:41
한국장애인고용공단,준정부기관(위탁집행형),https://www.kead.or.kr/,https://www.kead.or.kr/bbs/jobcontents/bbsPage.do?menuId=MENU2196,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국장학재단,준정부기관(위탁집행형),https://www.kosaf.go.kr/,https://www.kosaf.go.kr/ko/notice.do?pg=PTKONotice_List,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국재정정보원,준정부기관(위탁집행형),https://www.fis.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국저작권보호원,기타공공기관,https://www.kcopa.or.kr/,https://www.kcopa.or.kr/lay1/bbs/S1T12C49/A/12/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,3,3,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국저작권위원회,기타공공기관,https://www.copyright.or.kr/,https://www.copyright.or.kr/committee-introduction/management/notice/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국전기안전공사,준정부기관(위탁집행형),http://www.kesco.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국전력거래소,준정부기관(위탁집행형),https://www.kpx.or.kr/,https://www.kpx.or.kr/board.es?mid=a10212070000&bid=0201,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국전력공사,공기업(시장형),https://kepco.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국전력국제원자력대학원대학교,기타공공기관,https://kings.ac.kr/,https://kings.ac.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000245,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국전력기술주식회사,공기업(준시장형),https://www.kepco-enc.com/,https://www.kepco-enc.com/portal/dataQestnarRespns/list.es?mid=a10205050000,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국제품안전관리원,기타공공기관,https://www.kips.kr/,https://www.kips.kr/cntns/cntns.do?menuSn=5010,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국조세재정연구원,기타공공기관,https://www.kipf.re.kr/,https://www.kipf.re.kr/bbs/kor_Plaza_Notice.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,5,5,0,4,0,0,3,,,,,아니오,2026-09-26 09:29:41
한국조폐공사,공기업(준시장형),https://www.komsco.com/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국주택금융공사,준정부기관(기금관리형),https://www.hf.go.kr/,https://www.hf.go.kr/ko/sub04/sub04_11_01.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,6,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국중부발전(주),공기업(시장형),https://www.komipo.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국중소벤처기업유통원,기타공공기관,https://www.kodma.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국지능정보사회진흥원,준정부기관(위탁집행형),https://www.nia.or.kr/,https://www.nia.or.kr/site/nia_kor/ex/newsletter/NewsletterList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국지식재산보호원,기타공공기관,https://www.koipa.re.kr/,https://www.koipa.re.kr/home/board/brdList.do?menu_cd=000052,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국지식재산연구원,기타공공기관,https://www.kiip.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국지역난방공사,공기업(시장형),https://www.kdhc.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국직업능력연구원,기타공공기관,https://www.krivet.re.kr/,https://www.krivet.re.kr/kor/sub.do?menuSn=23,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,3,3,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국철도공사,공기업(준시장형),https://info.korail.com/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국청소년상담복지개발원,기타공공기관,http://www.kyci.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국청소년정책연구원,기타공공기관,https://www.nypi.re.kr/,https://www.nypi.re.kr/board?menuKey=D7eWzSzI7U&siteId=SITE00002&bbsId=BOARD00015,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국청소년활동진흥원,기타공공기관,https://www.kywa.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국체육산업개발(주),기타공공기관,https://www.ksponco.or.kr/,https://www.ksponco.or.kr/gallery.es?mid=a10201020000&bid=0028&nPage=1&v_type=&b_list_cnt=10&ord=&tag=&list_no=8025&act=view&keyField=&keyWord=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,1,0,,,,,아니오,2026-09-26 09:29:41
한국출판문화산업진흥원,기타공공기관,http://www.kpipa.or.kr/,https://www.kpipa.or.kr/p/g1_1,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,3,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국치산기술협회,기타공공기관,https://www.kafet.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국콘텐츠진흥원,기타공공기관,https://www.kocca.kr/,https://www.kocca.kr/kocca/bbs/list/B0000137.do?menuNo=204802,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국탄소산업진흥원,기타공공기관,https://www.kcarbon.or.kr/,https://www.kcarbon.or.kr/bbs/board.php?bo_id=notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,3,,,,,아니오,2026-09-26 09:29:41
한국토지주택공사,공기업(준시장형),https://www.lh.or.kr/,https://www.lh.or.kr/board.es?mid=a10601010000&bid=0033,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국투자공사,기타공공기관,https://www.kic.kr/,https://kic.kr/ko/news/announcements/notice/svrvip,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국특허기술진흥원,기타공공기관,https://www.kipro.or.kr/,https://www.kipro.or.kr/board/notice/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국특허전략개발원,기타공공기관,https://www.kista.re.kr/,https://www.kista.re.kr/user/board.do?bbsId=BBSMSTR_000000000532,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국특허정보원,기타공공기관,https://www.kipi.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국학중앙연구원,기타공공기관,http://www.aks.ac.kr/,http://www.aks.ac.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000082&menuNo=4010110000,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국한의약진흥원,기타공공기관,https://www.nikom.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국항로표지기술원,기타공공기관,https://www.katon.or.kr/,https://www.katon.or.kr/article/notice/detail/9458,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국해양과학기술원,기타공공기관,https://www.kiost.ac.kr/,https://www.kiost.ac.kr/cop/bbs/BBSMSTR_000000000072/selectBoardArticle.do?nttId=25459,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국해양교통안전공단,준정부기관(위탁집행형),https://www.komsa.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국해양수산개발원,기타공공기관,https://www.kmi.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국해양수산연수원,기타공공기관,https://www.seaman.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국해양조사협회,기타공공기관,https://www.khra.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국해양진흥공사,기타공공기관,https://www.kobc.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국해외인프라도시개발지원공사,기타공공기관,https://www.kindkorea.or.kr/,https://www.kindkorea.or.kr/pages/29,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국행정연구원,기타공공기관,https://www.kipa.re.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국형사·법무정책연구원,기타공공기관,http://www.kicj.re.kr/,https://www.kicj.re.kr/board.es?mid=a10304010000&bid=0012,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국환경공단,준정부기관(위탁집행형),https://www.keco.or.kr/,https://www.keco.or.kr/web/lay1/bbs/S1T164C1417/A/275/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,5,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국환경보전원,기타공공기관,https://www.keci.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국환경산업기술원,준정부기관(위탁집행형),https://www.keiti.re.kr/,https://www.keiti.re.kr/site/keiti/rnd/selectRndSubjectList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국환경연구원,기타공공기관,https://www.kei.re.kr/,https://www.kei.re.kr/board.es?mid=a10301000000&bid=0001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한식진흥원,기타공공기관,https://www.hansik.or.kr/,https://www.hansik.or.kr/board/no/list/001?menuSn=31,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한전KDN,공기업(준시장형),https://www.kdn.com/,http://www.kdn.com/board.kdn?mid=a10111050000&bid=0019,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
한전KPS(주),공기업(준시장형),https://www.kps.co.kr/,https://www.kps.co.kr/web/Board/47497/detailView.do?pageIndex=1&menu=2467,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한전MCS(주),기타공공기관,https://www.kepcomcs.co.kr/,https://www.kepcomcs.co.kr/mber/opinion/notice/bbs/29/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한전원자력연료주식회사,기타공공기관,https://www.knfc.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
항공안전기술원,기타공공기관,https://www.kiast.or.kr/,https://www.kiast.or.kr/kr/cop/bbs/BBSMSTR_000000000001/selectBoardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
해양수산과학기술진흥원,기타공공기관,https://www.kimst.re.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
해양환경공단,공기업(준시장형),https://www.koem.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
